Rank,Country,Currency,Conversion Rate USD,Average,Cheapest,Expensive
1,Sudan,SDG,0.0017528483,1367.0,499.0,2565.0
5,Egypt,EGP,0.02084755,398.80000000000007,120.0,1140.0
11,Zimbabwe,ZWL,0.003106,3105.0,2425.0,4058.0
20,Republic of Congo,CDF,0.0003605155,35000.0,25416.666666666668,45416.666666666664
23,Tunisia,TND,0.31776309999999997,47.224999999999994,21.012,115.90000000000002
29,Eswatini,SZL,0.053770410000000005,295.6666666666667,161.66666666666666,495.6666666666667
40,Ethiopia,ETB,0.0174876,1055.4166666666667,671.4166666666666,3567.4166666666665
42,Libya,LYD,0.20615088,92.5,45.0,350.0
47,Algeria,DZD,0.007431255,2799.0,1600.0,3999.0
51,Nigeria,NGN,0.0007188504099999999,30457.5,12795.0,338610.0
55,Liberia,USD,1.0,24.0,9.0,59.0
67,Mayotte,EUR,1.070025,26.5,26.5,26.5
72,Mauritius,MUR,0.021575201000000002,1450.0,799.0,4700.0
85,Togo,XOF,0.001632973,21041.666666666664,15833.333333333334,30833.333333333332
87,Morocco,MAD,0.09928632,349.0,130.58333333333334,1016.6666666666666
100,Senegal,XOF,0.001632973,24400.0,12900.0,54900.0
104,Réunion,EUR,1.070025,38.083333333333336,18.99,63.9
105,Côte d'Ivoire,XOF,0.001632973,25000.0,15000.0,85000.0
106,Mali,XOF,0.001632973,25000.0,15000.0,60000.0
111,Rwanda,RWF,0.00078,55416.16666666667,25833.333333333332,199999.0
113,Tanzania,TZS,0.00038610037999999995,112500.0,50000.0,265666.6666666667
115,Cape Verde,CVE,0.009714325000000001,4550.0,749.0,4550.0
116,Zambia,ZMK,0.037,1199.0,510.0,2250.0
117,Burkina Faso,XOF,0.001632973,27400.0,14750.0,156150.0
124,Angola,AOA,0.0011954572,39751.6,19651.600000000002,131901.78125
125,Kenya,KES,0.0075778500000000006,6299.0,2395.0,20000.0
127,South Africa,ZAR,0.053657710000000004,899.0,215.0,1880.0
131,Uganda,UGX,0.0002636027,199500.0,112000.0,559000.0
135,Somalia,USD,1.0,54.58333333333333,24.166666666666668,304.1666666666667
136,Benin,XOF,0.001632973,33750.0,16250.0,71250.0
139,Madagascar,MGA,0.00022615150000000002,249000.0,249000.0,249000.0
140,Cameroon,XAF,0.001632973,34833.333333333336,14900.0,58833.333333333336
141,Ghana,GHS,0.07328133,786.75,257.0,4042.5
142,Namibia,NAD,0.05377135,1074.0041666666666,430.0041666666668,4140.0
157,Mauritania,MRO,0.025173064000000002,2608.3333333333335,1208.3333333333333,5008.333333333333
160,Saint Helena,SHP,1.2635,53.83166666666666,16.307666666666666,177.73666666666668
164,Botswana,BWP,0.07068818,975.0,329.0,3418.86
166,Equatorial Guinea,XAF,0.001632973,42500.0,20000.0,122000.0
171,Sierra Leone,SLL,5.08165e-05,1491666.6666666667,500000.0,3094166.6666666665
175,Gabon,XOF,0.001632973,47708.33333333333,27500.0,152916.66666666666
177,Niger,XOF,0.001632973,50000.0,27500.0,72500.0
184,Djibouti,DJF,0.0056411460000000005,15161.666666666668,4766.666666666667,30011.666666666668
187,Lesotho,LSL,0.05377135,1599.0,649.0,8999.0
189,Gambia,GMD,0.014760147000000001,5916.666666666667,2916.6666666666665,7916.666666666667
198,Comoros,KMF,0.002167788,44333.333333333336,15833.333333333334,88333.33333333333
203,Seychelles,SCR,0.0726377,1493.8499999999997,171.35,8619.0
206,Eritrea,ERN,0.06666,1750.0,316.0,4000.0
208,Mozambique,MZN,0.01566333,7550.0,2800.0,15300.0
218,Congo (Democratic Republic of),CDF,0.0003605155,474240.0,249600.0,686400.0
222,Burundi,BIF,0.00035016830000000003,869769.4033333333,110000.0,3591666.6666666665
